문제,정답
운영체제가 관리하는것 네가지를 적으시오.,"기억장치, 중앙처리장치, 입출력장치, 파일시스템"
운영체제의 성능 평가기준 네가지를 적으시오.,"처리량, 반환시간, 신뢰성, 사용가능도"
입력되는 자료를 일정 기간 또는 일정량을 모아서 한꺼번에 처리하는 처리방식은?,일괄처리 시스템
자료가 발생할 때마다 즉시 처리하는 방식으로 정해진 시간에 반드시 수행되어야 하는 작업들을 처리에 적합한 방식은?,실시간 처리 시스템
여러개의 cpu와 한개의 주기억 장치로 여러 프로그램을 동시에 처리하는 방식은?,다중처리 시스템
한개의 cpu가 있는 컴퓨터에서 여러개의 프로그램을 동시에 기억장치에 보관 시킨 후 번갈아가며 처리하는 방법은?,다중프로그래밍 시스템
cpu와 입출력 장치 사이의 속도 차이를 해소하기 위해 메모리 영역에 잠시 저장해서 입출력 장치의 느린 속도를 보완해주는 방법은?,버퍼링(Buffering)
cpu와 입출력 장치를 아주 높은 효율로 작업할수 있도록 하는 다중 프로그래밍의 운영 방식은?,스풀링(Spooling)
"일괄처리 형태에서의 사용자 대기시간을 줄이기 위한 대화식 처리 형태로, 사용자와 시스템 간에 직접적인 통신을 제공하는 방식은?",시분할 시스템
시분할 시스템에서의 단위 작업 시간을 무엇이라 하는가?,Time Slice
"통신회선으로 연결된 여러개의 컴퓨터와 단말기에 작업과 자원을 분산시킨 후, 통신망을 통하여 교신 처리하는 운영체제 방식은?",분산처리 시스템
UNIX에서 파일 내용을 화면에 표시하는 명령어는?,cat
"다음 설명에 가장 적합한 UNIX 명령어를 쓰시오.
현재 위치의 파일 목록 조회 : (가)
현재 프로세스의 상태 확인 : (나)
파일 복사 : (다)","(가) : ls
(나) : ps
(다) : cp"
"UNIX의 파일시스템 구조중 파일 소유자의 사용자번호, 소유자가 속한 그룹의 번호 등 파일에 대한 정보를 기억하는 고정된 크기의 블록을 무엇이라 하는지 쓰시오.",i-node 블록
컴퓨터가 부팅될 때 디스크로부터 주기억장치로 적재된 후 시스템이 꺼질때까지 항상 주기억 장치에 상주하면서 실행되는 UNIX 운영체제의 기본구조를 무엇이라 하는지 쓰시오,커널 또는 kernel
"유닉스에서 파일에 대한 접근(읽기, 쓰기, 실행)권한을 설정하여 사용자에 대한 파일의 접근을 제한하는데 사용하는 명령어는 무엇인지 쓰시오.",chmod
애플사에서 개발한 유닉스 기반의 모바일 운영체제를 무엇이라 하는가?,ios
